           100k;  1;               ;"R16"
           100n;  4;               ;"C14, C16, C17, C18"
            10k;  6;               ;"R11, R15, R17, R18, R19, R21"
            18p;  2;               ;"C11, C12"
            1k5;  1;               ;"R12"
             22;  2;               ;"R13, R14"
           3.3v;  1;               ;"P3"
            4u7;  1;               ;"C1"
             50;  3;               ;"R20, R22, R23"
            500;  3;               ;"R1, R2, R3"
           8MHz;  1;               ;"X1"
        CONN_12;  1;               ;"P1"
         CONN_8;  1;               ;"P4"
     flash-mode;  1;               ;"P5"
            i2c;  1;               ;"P8"
            LED;  3;               ;"D1, D2, D3"
     MINI-USB-B;  1;               ;"U1"
        op-mode;  1;               ;"P2"
  STM32F102C8T6;  1;               ;"stm1"
            swd;  1;               ;"K1"
