           100n;  4;               ;"C3, C4, C7, C8"
            10k;  1;               ;"R8"
            12k;  1;               ;"R7"
             1m;  2;               ;"C9, C10"
         1N5819;  2;               ;"D1, D2"
            1R5;  6;               ;"R1, R2, R3, R4, R5, R6"
           2.2n;  2;               ;"C5, C6"
            20k;  1;               ;"R9"
            4u7;  2;               ;"C1, C2"
            50k;  1;               ;"R10"
         CONN_6;  1;               ;"P1"
       INDUCTOR;  2;               ;"L1, L2"
        NCP3063;  2;               ;"U1, U2"
