             10;  4;               ;"R36, R37, R38, R39"
           100k;  1;               ;"R16"
           100n;  8;               ;"C3, C4, C7, C8, C14, C16, C17, C18"
            10k;  7;               ;"R8, R11, R15, R17, R18, R19, R21"
            10v;  2;               ;"P4, P7"
            12k;  1;               ;"R7"
            18p;  2;               ;"C11, C12"
            1k5;  1;               ;"R12"
             1m;  2;               ;"C9, C10"
         1N4148;  4;               ;"D3, D4, D5, D6"
         1N5819;  2;               ;"D1, D2"
            1R5;  6;               ;"R1, R2, R3, R4, R5, R6"
           2.2n;  2;               ;"C5, C6"
            20k;  1;               ;"R9"
             22;  2;               ;"R13, R14"
            24v;  1;               ;"P1"
            2k4;  8;               ;"R25, R27, R29, R31, R33, R35, R41, R43"
           3.3v;  2;               ;"P3, P6"
            33k;  8;               ;"R24, R26, R28, R30, R32, R34, R40, R42"
            4u7;  2;               ;"C1, C2"
             50;  3;               ;"R20, R22, R23"
            50k;  1;               ;"R10"
           8MHz;  1;               ;"X1"
          bc847;  4;               ;"Q1, Q2, Q3, Q8"
     flash-mode;  1;               ;"P5"
            i2c;  1;               ;"P8"
       INDUCTOR;  2;               ;"L1, L2"
        MC34152;  2;               ;"U4, U5"
     MINI-USB-B;  1;               ;"U1"
       MOSFET_N;  4;               ;"Q4, Q5, Q6, Q7"
        NCP3063;  2;               ;"U2, U3"
        op-mode;  1;               ;"P2"
       port-out;  8;               ;"P9, P10, P11, P12, P13, P14, P15, P16"
  STM32F102C8T6;  1;               ;"stm1"
            swd;  1;               ;"K1"
