             10;  8;               ;"R45, R46, R49, R50, R53, R54, R57, R58"
           100n;  4;               ;"C3, C4, C7, C8"
            10k;  1;               ;"R8"
            12k;  1;               ;"R7"
             1m;  2;               ;"C9, C10"
         1N4148;  8;               ;"D3, D4, D5, D6, D7, D8, D9, D10"
         1N5819;  2;               ;"D1, D2"
            1R5;  6;               ;"R1, R2, R3, R4, R5, R6"
           2.2n;  2;               ;"C5, C6"
            20k;  1;               ;"R9"
            24v;  1;               ;"P5"
            2k4; 24;               ;"R12, R14, R16, R18, R20, R22, R24, R26, R28, R30, R32, R34, R36, R38, R40, R42, R60, R62, R64, R66, R68, R70, R72, R74"
           3.3v;  1;               ;"P3"
            33k; 32;               ;"R11, R13, R15, R17, R19, R21, R23, R25, R27, R29, R31, R33, R35, R37, R39, R41, R43, R44, R47, R48, R51, R52, R55, R56, R59, R61, R63, R65, R67, R69, R71, R73"
            4u7;  2;               ;"C1, C2"
            50k;  1;               ;"R10"
          bc847; 12;               ;"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q17, Q18, Q19, Q20"
        CONN_12;  1;               ;"P1"
        CONN_20;  1;               ;"P4"
         CONN_8;  1;               ;"P2"
       INDUCTOR;  2;               ;"L1, L2"
        MC34152;  4;               ;"U3, U4, U5, U6"
       MOSFET_N;  8;               ;"Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16"
        NCP3063;  2;               ;"U1, U2"
