            100;  3; SMD0805       ;"R44, R63, R64"
           100k;  1; SMD0805       ;"R52"
           100n;  6; SMD0805       ;"C1, C2, C3, C5, C14, C19"
            10k; 27; SMD0805       ;"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R27, R28, R29, R30, R31, R36, R37, R38, R39, R40, R41, R42, R43, R62"
            10u; 10; SMD0805       ;"C4, C8, C9, C10, C11, C12, C16, C17, C21, C22"
            12k;  1; SMD0805       ;"R57"
            18p;  2; SMD0805       ;"C6, C7"
            1k5; 14; SMD0805       ;"R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R49"
             1m;  2; SMD0805       ;"C15, C20"
         1N5819;  2; DO-41         ;"D4, D5"
            1R5;  6; SMD0805       ;"R53, R54, R55, R58, R59, R60"
           2.2n;  2; SMD0805       ;"C13, C18"
            20k;  1; SMD0805       ;"R56"
             22;  2; SMD0805       ;"R50, R51"
            30k;  1; SMD0805       ;"R61"
             50;  5; SMD0805       ;"R35, R45, R46, R47, R48"
            500;  3; SMD0805       ;"R32, R33, R34"
        74HC164;  4; SOIC-16       ;"U3, U4, U5, U6"
        74HC165;  2; SOIC-14       ;"U1, U2"
           8MHz;  1; HC49/U        ;"X1"
           DB37;  2; D-SUB-37      ;"J1, J2"
            DB9;  1; D-SUB-9       ;"J3"
          i2c-1;  1; PLC-M         ;"K1"
          i2c-2;  1; PLC-F         ;"K2"
       INDUCTOR;  2;               ;"L1, L2"
           L293;  7; SOIC-20       ;"U7, U8, U9, U10, U11, U12, U13"
            LED;  3; LED-5mm       ;"D1, D2, D3"
     MINI-USB-B;  1; miniUSB-B     ;"U14"
        NCP3063;  2; SOIC-8        ;"U15, U16"
        power-1;  1; PLC-M         ;"P2"
        power-2;  1; PLC-F         ;"P3"
          SETUP;  1; PLC-F         ;"P1"
  STM32F102C8T6;  1; LQFP-48       ;"stm1"
        SWD-IAP;  1; PLC-F         ;"P4"
